    Re =      165.000
    time pforcex pforcey vforcex vforcey  meanpx  meanpy  meanvx  meanvy
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000500 6626.737867    0.123259    9.381259    0.000096 3313.368933    0.061629    4.690630    0.000048    0.000000
    0.001000   46.857722   -0.123763    8.566012   -0.000005 2224.531863   -0.000168    5.982424    0.000031    0.000000
    0.001500   31.434492    0.000479    7.885054   -0.000011 1676.257520   -0.000006    6.458081    0.000020    0.000000
    0.002000   -2.494290   -0.000452    7.241430   -0.000007 1340.507158   -0.000095    6.614751    0.000015    0.000000
    0.002500    5.585346    0.000310    6.689871   -0.000006 1118.020189   -0.000028    6.627271    0.000011    0.000000
    0.003000    4.811641   -0.000022    6.200897   -0.000005  958.990397   -0.000027    6.566360    0.000009    0.000000
    0.003500    4.602605    0.000062    5.767432   -0.000004  839.691923   -0.000016    6.466494    0.000007    0.000000
    0.004000    4.346229    0.000021    5.382228   -0.000004  746.875735   -0.000012    6.346020    0.000006    0.000000
    0.004500    4.059745    0.000004    5.038397   -0.000003  672.594136   -0.000010    6.215258    0.000005    0.000000
    0.005000    3.825707    0.000010    4.730660   -0.000003  611.797006   -0.000009    6.080294    0.000004    0.000000
    0.005500    3.619431    0.000005    4.454440   -0.000003  561.115541   -0.000007    5.944807    0.000004    0.000000
    0.006000    3.434931    0.000003    4.205794   -0.000002  518.217033   -0.000007    5.811036    0.000003    0.000000
    0.006500    3.273101    0.000003    3.981380   -0.000002  481.435323   -0.000006    5.680347    0.000003    0.000000
    0.007000    3.130382    0.000003    3.778326   -0.000002  449.548327   -0.000005    5.553545    0.000003    0.000000
    0.007500    3.004004    0.000002    3.594151   -0.000002  421.639307   -0.000005    5.431083    0.000002    0.000000
    0.008000    2.891680    0.000002    3.426714   -0.000002  397.007094   -0.000004    5.313179    0.000002    0.000000
    0.008500    2.791461    0.000002    3.274156   -0.000001  375.106225   -0.000004    5.199900    0.000002    0.000000
    0.009000    2.701613    0.000002    3.134859   -0.000001  355.505982   -0.000004    5.091214    0.000002    0.000000
    0.009500    2.620672    0.000002    3.007411   -0.000001  337.861717   -0.000003    4.987023    0.000002    0.000000
    0.010000    2.547427    0.000002    2.890573   -0.000001  321.894370   -0.000003    4.887192    0.000001    0.000000
    0.010500    2.480841    0.000002    2.783259   -0.000001  307.375573   -0.000003    4.791559    0.000001    0.000000
    0.011000    2.420043    0.000002    2.684512   -0.000001  294.116637   -0.000003    4.699948    0.000001    0.000000
    0.011500    2.364297    0.000002    2.593485   -0.000001  281.960289   -0.000003    4.612179    0.000001    0.000000
    0.012000    2.312982    0.000001    2.509432   -0.000001  270.774397   -0.000002    4.528069    0.000001    0.000000
    0.012500    2.265564    0.000001    2.431688   -0.000001  260.447134   -0.000002    4.447439    0.000001    0.000000
    0.013000    2.221594    0.000001    2.359663   -0.000001  250.883225   -0.000002    4.370114    0.000001    0.000000
    0.013500    2.180684    0.000001    2.292830   -0.000001  242.000992   -0.000002    4.295925    0.000001    0.000000
    0.014000    2.142501    0.000001    2.230720   -0.000001  233.730009   -0.000002    4.224711    0.000001    0.000000
    0.014500    2.106759    0.000001    2.172913   -0.000001  226.009234   -0.000002    4.156318    0.000001    0.000000
    0.015000    2.073208    0.000001    2.119031   -0.000001  218.785492   -0.000002    4.090599    0.000001    0.000000
    0.015500    2.041635    0.000001    2.068734   -0.000001  212.012246   -0.000002    4.027416    0.000001    0.000000
    0.016000    2.011850    0.000001    2.021719   -0.000001  205.648598   -0.000002    3.966637    0.000001    0.000000
    0.016500    1.983689    0.000001    1.977710   -0.000001  199.658453   -0.000002    3.908139    0.000001    0.000000
    0.017000    1.957009    0.000001    1.936458   -0.000001  194.009841   -0.000001    3.851806    0.000001    0.000000
    0.017500    1.931681    0.000001    1.897738   -0.000001  188.674336   -0.000001    3.797526    0.000001    0.000000
    0.018000    1.907593    0.000001    1.861347   -0.000001  183.626586   -0.000001    3.745197    0.000000    0.000000
    0.018500    1.884645    0.000001    1.827101    0.000000  178.843904   -0.000001    3.694721    0.000000    0.000000
    0.019000    1.862748    0.000001    1.794829    0.000000  174.305925   -0.000001    3.646005    0.000000    0.000000
    0.019500    1.841824    0.000001    1.764381    0.000000  169.994323   -0.000001    3.598965    0.000000    0.000000
    0.020000    1.821799    0.000001    1.735615    0.000000  165.892554   -0.000001    3.553517    0.000000    0.000000
    0.020500    1.802611    0.000001    1.708406    0.000000  161.985651   -0.000001    3.509586    0.000000    0.000000
    0.021000    1.784201    0.000001    1.682637    0.000000  158.260035   -0.000001    3.467099    0.000000    0.000000
    0.021500    1.766518    0.000001    1.658201    0.000000  154.703365   -0.000001    3.425988    0.000000    0.000000
    0.022000    1.749513    0.000001    1.635001    0.000000  151.304390   -0.000001    3.386188    0.000000    0.000000
    0.022500    1.733143    0.000001    1.612948    0.000000  148.052841   -0.000001    3.347639    0.000000    0.000000
    0.023000    1.717369    0.000001    1.591961    0.000000  144.939321   -0.000001    3.310284    0.000000    0.000000
    0.023500    1.702155    0.000001    1.571963    0.000000  141.955213   -0.000001    3.274069    0.000000    0.000000
    0.024000    1.687467    0.000001    1.552886    0.000000  139.092606   -0.000001    3.238943    0.000000    0.000000
    0.024500    1.673276    0.000001    1.534667    0.000000  136.344219   -0.000001    3.204858    0.000000    0.000000
